GameTitle,Profit,GenreRank
"Pokemon Red/Pokemon Blue",10.22,1
"Pokemon Gold/Pokemon Silver",7.2,2
"Pokemon Diamond/Pokemon Pearl",6.04,3
"Pokemon Black/Pokemon White",5.65,4
"Pokemon Ruby/Pokemon Sapphire",5.38,5
"Monster Hunter Freedom 3",4.87,6
"Dragon Quest IX: Sentinels of the Starry Skies",4.35,7
"Pokemon X/Pokemon Y",4.34,8
"Monster Hunter Freedom Unite",4.13,9
"Dragon Quest VII: Warriors of Eden",4.1,10
"Dragon Warrior III",3.77,11
"Final Fantasy VIII",3.63,12
"Dragon Quest VIII: Journey of the Cursed King",3.61,13
"Monster Hunter 4",3.44,14
"Final Fantasy VII",3.28,15
"Dragon Quest VI: Maboroshi no Daichi",3.19,16
"Yokai Watch 2 Ganso/Honke",3.18,17
"Pokemon FireRed/Pokemon LeafGreen",3.15,18
"Pokemon Black 2/Pokemon White 2",3.14,19
"Pokémon Yellow: Special Pikachu Edition",3.12,20
"Pokemon Omega Ruby/Pokemon Alpha Sapphire",3.08,21
"Dragon Warrior IV",3.03,22
"Final Fantasy IX",2.78,23
"Dragon Quest V: Tenkuu no Hanayome",2.78,23
"Final Fantasy X",2.73,25
"Pokémon Platinum Version",2.69,26
"Yokai Watch 2 Shinuchi",2.68,27
"Monster Hunter 4 Ultimate",2.62,28
"Final Fantasy III",2.55,29
"Final Fantasy V",2.43,30
"Dragon Warrior II",2.41,31
"Dragon Warrior Monsters",2.34,32
"Final Fantasy XII",2.33,33
"Yu-Gi-Oh: Duel Monsters 4",2.17,34
"Final Fantasy X-2",2.11,35
"Pokémon Emerald Version",2.06,36
"Chrono Trigger",2.02,37
"Monster Hunter Tri",1.96,38
"Final Fantasy XIII",1.87,39
"Monster Hunter Freedom 2",1.75,40
"Dragon Quest V: Tenkuu no Hanayome",1.65,41
"Dragon Quest Monsters 2",1.56,42
"Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness",1.54,43
"Puzzle & Dragons",1.51,44
"Kingdom Hearts",1.49,45
"Secret of Mana",1.49,45
"Dragon Quest Monsters: Joker",1.49,45
"Super Mario RPG: Legend of the Seven Stars",1.45,48
"Final Fantasy III",1.39,49
"Kingdom Hearts II",1.38,50
"Dragon Quest V: Hand of the Heavenly Bride",1.36,51
"Dragon Quest III: Soshite Densetsu e...",1.36,51
"Dragon Quest VI: Realms of Revelation",1.35,53
"Final Fantasy Tactics",1.34,54
"Yokai Watch",1.33,55
"Final Fantasy II",1.33,55
"Dragon Quest VII: Warriors of Eden",1.3,57
"Pokémon Crystal Version",1.29,58
"Romancing SaGa 3",1.29,58
"Dragon Quest IV: Chapters of the Chosen",1.27,60
"Dragon Ball: Daimaou Fukkatsu",1.25,61
"Gegege no Kitarou 2: Youkai Gundan no Chousen",1.25,61
"Dragon Quest Monsters: Joker 2",1.24,63
"Dragon Quest IV: Michibikareshi Monotachi",1.2,64
"Inazuma Eleven 2",1.18,65
"Romancing SaGa 2",1.17,66
"Dragon Quest I & II",1.15,67
"Chocobo no Fushigi Dungeon",1.14,68
"Arc the Lad",1.1,69
"The Final Fantasy Legend",1.1,69
"Famicom Jump: Eiyuu Retsuden",1.1,69
"Final Fantasy III",1.07,72
"SaGa Frontier",1.07,72
"Monster Hunter Tri",1.05,74
"Parasite Eve",1.05,74
"Monster Hunter Freedom",1.03,76
"Romancing SaGa",0.97,77
