GameTitle,Profit,GenreRank
"Pokemon Red/Pokemon Blue",11.27,1
"Pokemon Gold/Pokemon Silver",9,2
"Pokemon Diamond/Pokemon Pearl",6.42,3
"Pokemon Ruby/Pokemon Sapphire",6.06,4
"Pokémon Yellow: Special Pikachu Edition",5.89,5
"Pokemon Black/Pokemon White",5.57,6
"Pokemon X/Pokemon Y",5.17,7
"The Elder Scrolls V: Skyrim",5.03,8
"Pokemon FireRed/Pokemon LeafGreen",4.34,9
"Pokemon Omega Ruby/Pokemon Alpha Sapphire",4.23,10
"Kingdom Hearts",3.64,11
"Fable III",3.59,12
"Fallout 3",3.39,13
"Final Fantasy VII",3.01,14
"Pokemon Black 2/Pokemon White 2",2.91,15
"Final Fantasy X",2.91,15
"Pokémon Platinum Version",2.82,17
"The Elder Scrolls IV: Oblivion",2.82,17
"Fallout: New Vegas",2.65,19
"Pokémon Emerald Version",2.57,20
"World of Warcraft: The Burning Crusade",2.57,20
"The Elder Scrolls V: Skyrim",2.55,22
"Pokémon Crystal Version",2.55,22
"Fable II",2.51,24
"Fallout 4",2.47,25
"Fallout 4",2.45,26
"Diablo III",2.43,27
"Marvel: Ultimate Alliance",2.29,28
"Final Fantasy VIII",2.28,29
"Mario & Luigi: Bowser's Inside Story",2.26,30
"Kingdom Hearts II",2.2,31
"Fallout 3",2.15,32
"The Elder Scrolls III: Morrowind",2.09,33
"Mass Effect 2",1.99,34
Fable,1.99,34
"Mass Effect 3",1.94,36
"Final Fantasy X-2",1.92,37
"Final Fantasy XII",1.88,38
"Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness",1.85,39
"Mass Effect",1.83,40
"World of Warcraft: Cataclysm",1.77,41
"Dragon Age: Origins",1.76,42
"Final Fantasy XIII",1.74,43
"The Elder Scrolls IV: Oblivion",1.69,44
"Star Wars: Knights of the Old Republic",1.68,45
"Final Fantasy IX",1.62,46
"Star Wars: The Old Republic",1.58,47
"Fallout: New Vegas",1.52,48
"Dragon Ball Z: The Legacy of Goku",1.52,48
"Paper Mario: The Thousand-Year Door",1.48,50
"Mario & Luigi: Superstar Saga",1.48,50
"Yu-Gi-Oh! Forbidden Memories",1.37,52
"Crisis Core: Final Fantasy VII",1.35,53
"Pokemon Ranger",1.29,54
"Final Fantasy XIII",1.27,55
"Kingdom Hearts: Chain of Memories",1.26,56
"Pokémon Colosseum",1.21,57
"Pokémon Mystery Dungeon: Blue Rescue Team",1.16,58
"The Elder Scrolls V: Skyrim",1.15,59
"Paper Mario: Sticker Star",1.12,60
"Kingdom Hearts 358/2 Days",1.11,61
"Diablo II: Lord of Destruction",1.03,62
"X-Men Legends",1,63
"Star Wars Knights of the Old Republic II: The Sith Lords",0.99,64
"Demon's Souls",0.97,65
"The Witcher 3: Wild Hunt",0.96,66
"Dragon Age: Origins",0.96,66
"Pokemon Ranger: Shadows of Almia",0.95,68
"Parasite Eve",0.94,69
"The Legend of Dragoon",0.94,69
"Yu-Gi-Oh! The Sacred Cards",0.94,69
"Final Fantasy Tactics",0.93,72
"Golden Sun",0.93,72
"Final Fantasy III",0.91,74
"Kingdom Hearts",0.9,75
"Mario & Luigi: Dream Team",0.89,76
"Diablo III",0.89,76
"Fire Emblem: Awakening",0.89,76
"Final Fantasy III",0.86,79
"Final Fantasy XIV: A Realm Reborn",0.86,79
"World of Warcraft: Mists of Pandaria",0.84,81
"Yu-Gi-Oh! The Sacred Cards (American and Others sales)",0.84,81
"Fossil Fighters",0.84,81
"Dark Cloud",0.83,84
"Final Fantasy Tactics Advance",0.82,85
"Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales)",0.81,86
"Star Ocean: Till The End of Time",0.8,87
"Pokemon Battle Revolution",0.8,87
"Final Fantasy XIII-2",0.78,89
"Mass Effect 2",0.78,89
"Dragon Ball Z: The Legacy of Goku II",0.78,89
"The Elder Scrolls Online",0.77,92
"Mario & Luigi: Partners in Time",0.77,92
"Dark Souls",0.75,94
"Kingdom Hearts Re: Chain of Memories",0.73,95
"Dragon Age: Inquisition",0.72,96
"Final Fantasy: Crystal Chronicles",0.72,96
"Pokemon Mystery Dungeon: Red/Blue Rescue Team",0.71,98
"Diablo III",0.71,98
"Fire Emblem Fates",0.71,98
"Valkyria Chronicles",0.71,98
"Pokemon XD: Gale of Darkness",0.71,98
"Marvel: Ultimate Alliance",0.69,103
"Chrono Trigger",0.69,103
"Marvel: Ultimate Alliance 2",0.68,105
"Monster Hunter 4 Ultimate",0.67,106
"Monster Hunter Tri",0.67,106
Spectrobes,0.67,106
"Dragon Quest IX: Sentinels of the Starry Skies",0.66,109
"The Witcher 3: Wild Hunt",0.66,109
"Super Mario RPG: Legend of the Seven Stars",0.66,109
"The Elder Scrolls Online",0.66,109
"Dragon Quest VIII: Journey of the Cursed King",0.65,113
"Dark Souls",0.64,114
"Final Fantasy I & II: Dawn of Souls",0.64,114
"Mass Effect 3",0.63,116
"Kingdom Hearts: Birth by Sleep",0.63,116
"Xenosaga Episode I: Der Wille zur Macht",0.63,116
"Champions of Norrath",0.63,116
"X-Men Legends",0.62,120
"Chrono Cross",0.62,120
"Baldur's Gate: Dark Alliance",0.61,122
"Golden Sun: The Lost Age",0.61,122
"Harvest Moon: A Wonderful Life",0.61,122
"Ni no Kuni: Wrath of the White Witch",0.6,125
"Fallout: New Vegas",0.58,126
"Pokemon Mystery Dungeon: Explorers of Sky",0.58,126
"Dark Souls III",0.58,126
"Paper Mario",0.58,126
"Pokemon Conquest",0.58,126
"South Park: The Stick of Truth",0.57,131
"Digimon World",0.56,132
"Kingdom Hearts Re:coded",0.56,132
"Golden Sun: Dark Dawn",0.56,132
"Dragon Age: Inquisition",0.55,135
"Kingdoms of Amalur: Reckoning",0.55,135
"Tales of Symphonia",0.54,137
"Untold Legends: Brotherhood of the Blade",0.54,137
"The World Ends With You",0.54,137
"X-Men Legends II: Rise of Apocalypse",0.53,140
"Kingdom Hearts II",0.52,141
"Pokemon Ranger: Guardian Signs",0.51,142
"Sonic Chronicles: The Dark Brotherhood",0.51,142
"Fallout 4",0.5,144
"Bravely Default: Flying Fairy",0.5,144
"Dragon Warrior",0.49,146
"Diablo III",0.49,146
".hack//Infection Part 1",0.49,146
"Xenoblade Chronicles",0.49,146
"Marvel: Ultimate Alliance 2",0.49,146
"The Lord of the Rings: The Third Age",0.49,146
"Dark Souls II",0.48,152
"Jade Empire",0.48,152
"Monster Hunter Freedom Unite",0.47,154
"Monster Hunter Tri",0.46,155
"Persona 4: Golden",0.46,155
"Pokemon Super Mystery Dungeon",0.46,155
"Final Fantasy Tactics: The War of the Lions",0.45,158
"Lost Odyssey",0.45,158
"Final Fantasy Anthology",0.45,158
"Pokemon Mystery Dungeon: Gates to Infinity",0.44,161
RIFT,0.44,161
"Final Fantasy X / X-2 HD Remaster",0.43,163
"Dragon's Dogma",0.42,164
"South Park: The Stick of Truth",0.42,164
"Tales of the Abyss",0.42,164
"Final Fantasy Tactics A2: Grimoire of the Rift",0.42,164
"X-Men Legends",0.41,168
"Dragon's Dogma",0.41,168
"Two Worlds",0.41,168
Shadowrun,0.41,168
"Mass Effect 3",0.4,172
"Dark Souls II",0.4,172
"Two Worlds II",0.4,172
"Mega Man Battle Network 3 Blue / White Version",0.39,175
"Final Fantasy Anniversary Edition",0.39,175
"Dark Cloud 2",0.38,177
"Too Human",0.38,177
"Quest 64",0.38,177
"Monster Hunter Freedom 2",0.37,180
"Marvel: Ultimate Alliance",0.37,180
"Final Fantasy Type-0",0.37,180
"Kingdoms of Amalur: Reckoning",0.37,180
Darkstone,0.37,180
"Legend of Legaia",0.37,180
"Rune Factory: A Fantasy Harvest Moon",0.37,180
"Spectrobes: Beyond the Portals",0.37,180
"Naruto: Path of the Ninja",0.37,180
"Final Fantasy XIII-2",0.36,189
"Final Fantasy XIV: A Realm Reborn",0.36,189
"Xenoblade Chronicles X",0.36,189
"3D Dot Game Heroes",0.36,189
"Final Fantasy II Anniversary Edition",0.36,189
"Dragon Age: Inquisition",0.35,194
"Diablo III",0.35,194
"Final Fantasy XI: Wings of the Goddess",0.35,194
"DC Universe Online",0.35,194
"Final Fantasy XII: Revenant Wings",0.34,198
"Shin Megami Tensei: Persona 4",0.34,198
"Infinite Undiscovery",0.34,198
"Baldur's Gate: Dark Alliance II",0.34,198
"Marvel: Ultimate Alliance",0.33,202
"Marvel: Ultimate Alliance",0.33,202
"Fantasy Life",0.33,202
"White Knight Chronicles: International Edition",0.33,202
"Persona Q: Shadow of the Labyrinth",0.33,202
"Muramasa: The Demon Blade",0.33,202
"Rune Factory 2: A Fantasy Harvest Moon",0.33,202
"Dragon Age Origins: Awakening",0.33,202
"Dragon Age: Inquisition",0.32,210
"Dragon Quest IV: Chapters of the Chosen",0.32,210
"The Elder Scrolls Online",0.32,210
"Final Fantasy",0.32,210
"Star Ocean: The Last Hope",0.32,210
"Tales of Vesperia",0.32,210
"Final Fantasy XIV: A Realm Reborn",0.32,210
"The Last Story",0.32,210
"Fossil Fighters: Champions",0.32,210
"Champions: Return to Arms",0.32,210
"Parasite Eve II",0.32,210
"Disgaea 3: Absence of Justice",0.32,210
"The Witcher: Enhanced Edition",0.32,210
"Mega Man Battle Network 4: Red Sun / Blue Moon",0.31,223
"Lightning Returns: Final Fantasy XIII",0.31,223
"Sword of Mana",0.31,223
