GameTitle,Profit,GenreRank
"Wii Sports",82.74000000000001,1
"Wii Sports Resort",33,2
"Wii Fit",22.72,3
"Wii Fit Plus",22,4
"FIFA 16",8.49,5
"Mario & Sonic at the Olympic Games",8.05,6
"FIFA 14",6.9,7
"Zumba Fitness",6.8100000000000005,8
"FIFA 12",6.69,9
"FIFA 15",6.6,10
"Kinect Sports",6.24,11
"Madden NFL 2004",5.239999999999999,12
"Mario & Sonic at the Olympic Games",5.140000000000001,13
"FIFA Soccer 11",5.08,14
"Tony Hawk's Pro Skater",5.02,15
"Madden NFL 06",4.91,16
"FIFA 15",4.82,17
"FIFA 17",4.779999999999999,18
"Tony Hawk's Pro Skater 2",4.68,19
"Mario & Sonic at the Olympic Winter Games",4.58,20
"Madden NFL 2005",4.529999999999999,21
"Madden NFL 07",4.49,22
"Tony Hawk's Pro Skater 3",4.42,23
"Winning Eleven: Pro Evolution Soccer 2007",4.4,24
"FIFA 14",4.32,25
"FIFA Soccer 06",4.21,26
"FIFA 12",4.18,27
"Madden NFL 2003",4.14,28
"FIFA Soccer 07",4.109999999999999,29
"World Soccer Winning Eleven 9",4.05,30
Golf,4,31
"EA Sports Active",3.92,32
"Tony Hawk's Underground",3.8899999999999997,33
"Sports Champions",3.87,34
"World Soccer Winning Eleven 8 International",3.85,35
"NBA 2K16",3.8499999999999996,36
"Mario & Sonic at the London 2012 Olympic Games",3.78,37
"FIFA Soccer 2005",3.69,38
"Tony Hawk's Pro Skater 4",3.6699999999999995,39
"FIFA Soccer 10",3.63,40
"Pro Evolution Soccer 2008",3.62,41
"FIFA Soccer 11",3.53,42
"Mario & Sonic at the Olympic Winter Games",3.53,42
"FIFA Soccer 2004",3.5,44
"FIFA Soccer 2003",3.3999999999999995,45
"FIFA 16",3.2199999999999998,46
"Madden NFL 16",3.2199999999999998,46
Baseball,3.2,48
"FIFA Soccer 08",3.14,49
"FIFA 15",3.0999999999999996,50
"Madden NFL 2002",3.09,51
"World Class Track Meet",3.08,52
"WWE SmackDown! Shut Your Mouth",3.03,53
"NBA 2K13",3.01,54
"World Soccer Winning Eleven 6 International",2.99,55
"World Soccer Winning Eleven 7 International",2.9000000000000004,56
"FIFA 14",2.9,57
"Zumba Fitness 2",2.8900000000000006,58
"Hot Shots Golf 3",2.89,59
"Sega Superstars Tennis",2.8899999999999997,60
"Madden NFL 13",2.86,61
"FIFA 16",2.8499999999999996,62
"Madden NFL 10",2.83,63
"Hot Shots Golf",2.8000000000000003,64
"NBA Street",2.79,65
"Madden NFL 12",2.69,66
"Madden NFL 11",2.68,67
"Skate 3",2.6799999999999997,68
"ESPN NFL 2K5",2.63,69
"Mario Strikers Charged",2.62,70
"NBA 2K12",2.62,70
"FIFA Soccer 10",2.6199999999999997,72
"NBA Live 2005",2.59,73
"FIFA Soccer 09",2.58,74
"Madden NFL 08",2.5700000000000003,75
"Madden NFL 13",2.56,76
"Deca Sports",2.54,77
"Madden NFL 09",2.5300000000000002,78
"PES 2009: Pro Evolution Soccer",2.51,79
"NBA 2K13",2.48,80
"NBA 2K14",2.47,81
"Ice Hockey",2.42,82
"pro evolution soccer 2011",2.42,82
"Madden NFL 16",2.41,84
"Zumba Fitness",2.4,85
"Madden NFL 11",2.38,86
"NBA 2K15",2.38,86
"Tony Hawk's Underground 2",2.38,86
"Madden NFL 08",2.37,89
"Madden NFL 10",2.3699999999999997,90
"Kinect Sports: Season Two",2.3600000000000003,91
"My Fitness Coach",2.34,92
"Mario Tennis",2.31,93
"Cool Boarders 3",2.31,93
"NBA 2K16",2.3099999999999996,95
"Pro Evolution Soccer 2010",2.29,96
"FIFA Soccer 09",2.2800000000000002,97
"Cool Boarders 2",2.2600000000000002,98
"Madden NFL 12",2.25,99
"Pro Yakyuu Family Stadium",2.1999999999999997,100
"Madden NFL 25",2.17,101
Tennis,2.17,101
"Your Shape featuring Jenny McCarthy",2.16,103
"FIFA 15",2.15,104
Volleyball,2.15,104
Golf,2.12,106
"NBA 2K12",2.1100000000000003,107
"PES 2009: Pro Evolution Soccer",2.1100000000000003,107
"Tony Hawk's Pro Skater",2.11,109
"Mario Sports Mix",2.11,109
"Derby Stallion",2.1,111
"Skate 3",2.08,112
"NBA 2K14",2.05,113
"NBA Jam",2.05,113
"1080°: TenEighty Snowboarding",2.0399999999999996,115
"Madden NFL 15",2.0300000000000002,116
"Madden NFL 15",2.02,117
"NBA Live 2004",2.02,117
Tennis,1.9900000000000002,119
"Hot Shots Golf: Open Tee",1.96,120
Soccer,1.96,120
"NBA Street Vol. 2",1.95,122
"FIFA Soccer 09",1.94,123
"Mario Super Sluggers",1.92,124
"Madden NFL 09",1.89,125
"Hot Shots Golf 2",1.8800000000000001,126
"FIFA 2000",1.87,127
"Madden NFL 06",1.86,128
"NBA Live 2002",1.86,128
"NCAA Football 06",1.83,130
"NFL GameDay 2000",1.8000000000000003,131
"Madden NFL 07",1.7999999999999998,132
"Madden NFL 25",1.77,133
"FIFA Soccer 08",1.76,134
"Madden NFL 2000",1.76,134
"Pro Evolution Soccer",1.76,134
"Madden NFL 99",1.74,137
"SSX Tricky",1.73,138
"Madden NFL 2005",1.7200000000000002,139
"Cabela's Big Game Hunter 2010",1.7000000000000002,140
"FIFA Soccer 10",1.7,141
"We Ski",1.6999999999999997,142
"FIFA 16",1.69,143
"NBA 2K15",1.69,143
"NCAA Football 07",1.69,143
"NFL GameDay 98",1.6800000000000002,146
"Shaun White Snowboarding: Road Trip",1.6799999999999997,147
"Tony Hawk's Pro Skater 3",1.6700000000000002,148
"SSX 3",1.6700000000000002,148
"Madden NFL 2001",1.6700000000000002,148
"NCAA Football 2004",1.6700000000000002,148
"Big Beach Sports",1.67,152
SSX,1.6500000000000001,153
"NBA Ballers",1.65,154
"NBA Live 2003",1.65,154
"Tiger Woods PGA Tour 2003",1.6400000000000001,156
"NBA Live 06 (All region sales)",1.64,157
"ESPN NFL 2K5",1.6300000000000001,158
"NCAA Football 2005",1.6300000000000001,158
"Tony Hawk's American Wasteland (Old all region sales)",1.6300000000000001,158
"NBA 2K15",1.62,161
"Tiger Woods PGA Tour 2004",1.62,161
"Mario Hoops 3 on 3",1.62,161
"NFL Street 2",1.62,161
Baseball,1.61,165
"Super Mario Strikers",1.5999999999999999,166
"Pro Evolution Soccer 2008",1.5900000000000003,167
"ESPN NBA 2K5",1.5899999999999999,168
"Carnival Games: Mini Golf",1.58,169
"NCAA Football 2002",1.57,170
"Pro Evolution Soccer 2010",1.56,171
"Pro Evolution Soccer 2013",1.56,171
"Active Life: Outdoor Challenge",1.56,171
"MVP Baseball 2005",1.54,174
"FIFA 17",1.53,175
"NFL GameDay 99",1.53,175
"Mario Golf: Toadstool Tour",1.53,175
"Tiger Woods 99 PGA Tour Golf",1.53,175
"The Simpsons Skateboarding",1.53,175
"Football Manager 2012",1.52,180
"Madden NFL 15",1.5100000000000002,181
"Madden NFL 2001",1.51,182
"NBA Live 2000",1.51,182
"NBA Live 98",1.51,182
"NFL Blitz",1.5,185
"Madden NFL 09",1.49,186
"Nintendo World Cup",1.4800000000000002,187
"New Play Control! Mario Power Tennis",1.48,188
"Major League Baseball 2K5",1.47,189
"Triple Play 99",1.4600000000000002,190
"Mario Superstar Baseball",1.46,191
"Tony Hawk's American Wasteland (Weekly american sales)",1.45,192
"Tiger Woods PGA Tour 2005",1.4400000000000002,193
"Tiger Woods PGA Tour 09 All-Play",1.4300000000000002,194
"NCAA Football 2003",1.43,195
"Triple Play 2000",1.4200000000000002,196
"NBA Live 06 (Weekly american sales)",1.4200000000000002,196
"Cabela's Big Game Hunter",1.42,198
"NFL Street",1.42,198
"Pro Yakyuu Family Stadium '87",1.42,198
"Madden NFL 15",1.41,201
"Madden NFL 2002",1.4000000000000001,202
2Xtreme,1.4,203
"Dave Mirra Freestyle BMX 2",1.3800000000000001,204
"NBA Jam",1.38,205
"NBA 2K15",1.3699999999999999,206
"FIFA Soccer 08",1.35,207
"FIFA Soccer 08",1.35,207
"FIFA Soccer 09",1.35,207
"Madden NFL 98",1.35,207
"Tony Hawk's Pro Skater",1.34,211
"MVP Baseball 2004",1.34,211
"NBA 2K14",1.33,213
"Triple Play 2001",1.33,213
"Your Shape: Fitness Evolved",1.32,215
"NFL 2K3",1.32,215
"Madden NFL 97",1.32,215
"Gold's Gym: Cardio Workout",1.3000000000000003,218
"NBA Live 07",1.3,219
"EA Playground",1.2999999999999998,220
"EA Sports Active 2",1.2900000000000003,221
"FIFA Street",1.28,222
"Tony Hawk's Underground",1.27,223
"NBA 2K9",1.27,223
"Jillian Michaels' Fitness Ultimatum 2009",1.27,223
"Rockstar Games presents Table Tennis",1.27,223
